Episodes,Win Ratio 1,Win Ratio 2
100,81.0,11.0
200,87.0,8.0
300,77.0,13.0
400,77.0,13.0
500,92.0,4.0
600,75.0,15.0
700,86.0,12.0
800,78.0,15.0
900,82.0,14.000000000000002
1000,82.0,13.0
1100,82.0,14.000000000000002
1200,85.0,11.0
1300,75.0,14.000000000000002
1400,76.0,16.0
1500,74.0,22.0
1600,75.0,18.0
1700,85.0,10.0
1800,80.0,13.0
1900,79.0,12.0
2000,85.0,10.0
2100,74.0,14.000000000000002
2200,77.0,16.0
2300,75.0,17.0
2400,78.0,20.0
2500,73.0,19.0
2600,77.0,17.0
2700,82.0,13.0
2800,77.0,16.0
2900,67.0,24.0
3000,77.0,17.0
3100,71.0,22.0
3200,72.0,20.0
3300,71.0,17.0
3400,73.0,18.0
3500,79.0,14.000000000000002
3600,68.0,26.0
3700,76.0,17.0
3800,70.0,24.0
3900,87.0,11.0
4000,79.0,19.0
4100,80.0,17.0
4200,76.0,19.0
4300,77.0,17.0
4400,78.0,15.0
4500,70.0,23.0
4600,74.0,20.0
4700,74.0,21.0
4800,68.0,20.0
4900,70.0,21.0
5000,66.0,25.0
5100,77.0,15.0
5200,71.0,25.0
5300,68.0,24.0
5400,76.0,21.0
5500,78.0,18.0
5600,66.0,28.999999999999996
5700,73.0,21.0
5800,65.0,28.000000000000004
5900,66.0,27.0
6000,73.0,23.0
6100,80.0,18.0
6200,69.0,28.000000000000004
6300,77.0,22.0
6400,75.0,16.0
6500,68.0,30.0
6600,75.0,21.0
6700,60.0,32.0
6800,68.0,26.0
6900,74.0,22.0
7000,73.0,24.0
7100,79.0,15.0
7200,82.0,15.0
7300,73.0,23.0
7400,71.0,26.0
7500,78.0,20.0
7600,67.0,28.999999999999996
7700,79.0,18.0
7800,76.0,19.0
7900,70.0,24.0
8000,66.0,26.0
8100,68.0,25.0
8200,69.0,21.0
8300,66.0,30.0
8400,68.0,30.0
8500,78.0,20.0
8600,70.0,28.999999999999996
8700,72.0,27.0
8800,69.0,28.000000000000004
8900,69.0,25.0
9000,70.0,25.0
9100,71.0,27.0
9200,69.0,26.0
9300,70.0,26.0
9400,62.0,32.0
9500,65.0,28.000000000000004
9600,66.0,28.000000000000004
9700,72.0,20.0
9800,68.0,30.0
9900,69.0,25.0
10000,72.0,24.0
10100,68.0,24.0
10200,71.0,24.0
10300,65.0,27.0
10400,65.0,31.0
10500,68.0,26.0
10600,62.0,33.0
10700,56.99999999999999,42.0
10800,61.0,33.0
10900,62.0,33.0
11000,72.0,24.0
11100,59.0,36.0
11200,69.0,28.999999999999996
11300,62.0,34.0
11400,60.0,32.0
11500,68.0,25.0
11600,66.0,28.000000000000004
11700,66.0,28.999999999999996
11800,71.0,18.0
11900,63.0,34.0
12000,65.0,23.0
12100,71.0,22.0
12200,62.0,34.0
12300,59.0,36.0
12400,73.0,24.0
12500,60.0,35.0
12600,67.0,32.0
12700,67.0,27.0
12800,61.0,33.0
12900,62.0,28.000000000000004
13000,64.0,31.0
13100,57.99999999999999,34.0
13200,64.0,30.0
13300,55.00000000000001,37.0
13400,57.99999999999999,37.0
13500,65.0,31.0
13600,60.0,37.0
13700,49.0,46.0
13800,52.0,42.0
13900,57.99999999999999,40.0
14000,56.00000000000001,36.0
14100,66.0,30.0
14200,67.0,31.0
14300,59.0,38.0
14400,60.0,32.0
14500,57.99999999999999,38.0
14600,61.0,36.0
14700,59.0,35.0
14800,62.0,34.0
14900,62.0,34.0
15000,63.0,34.0
15100,56.99999999999999,41.0
15200,54.0,40.0
15300,59.0,37.0
15400,60.0,36.0
15500,51.0,44.0
15600,62.0,36.0
15700,66.0,31.0
15800,56.99999999999999,36.0
15900,53.0,39.0
16000,65.0,31.0
16100,56.99999999999999,38.0
16200,56.99999999999999,40.0
16300,64.0,32.0
16400,61.0,36.0
16500,49.0,43.0
16600,61.0,38.0
16700,54.0,40.0
16800,50.0,43.0
16900,44.0,50.0
17000,55.00000000000001,41.0
17100,50.0,42.0
17200,54.0,40.0
17300,61.0,34.0
17400,53.0,41.0
17500,52.0,48.0
17600,52.0,48.0
17700,44.0,50.0
17800,57.99999999999999,39.0
17900,50.0,44.0
18000,59.0,37.0
18100,56.00000000000001,36.0
18200,64.0,32.0
18300,60.0,35.0
18400,47.0,46.0
18500,47.0,49.0
18600,52.0,45.0
18700,53.0,40.0
18800,62.0,33.0
18900,51.0,44.0
19000,53.0,37.0
19100,44.0,48.0
19200,46.0,45.0
19300,44.0,48.0
19400,51.0,40.0
19500,53.0,42.0
19600,61.0,31.0
19700,55.00000000000001,41.0
19800,46.0,46.0
19900,48.0,43.0
20000,59.0,36.0
20100,41.0,47.0
20200,52.0,39.0
20300,55.00000000000001,38.0
20400,50.0,39.0
20500,54.0,45.0
20600,49.0,48.0
20700,43.0,45.0
20800,50.0,42.0
20900,48.0,46.0
21000,50.0,42.0
21100,45.0,44.0
21200,46.0,50.0
21300,50.0,45.0
21400,47.0,45.0
21500,45.0,46.0
21600,40.0,55.00000000000001
21700,53.0,42.0
21800,34.0,53.0
21900,40.0,49.0
22000,47.0,48.0
22100,46.0,45.0
22200,49.0,44.0
22300,39.0,54.0
22400,38.0,52.0
22500,48.0,43.0
22600,40.0,54.0
22700,46.0,42.0
22800,44.0,45.0
22900,37.0,55.00000000000001
23000,41.0,45.0
23100,43.0,40.0
23200,39.0,53.0
23300,42.0,49.0
23400,39.0,51.0
23500,42.0,51.0
23600,34.0,57.99999999999999
23700,33.0,55.00000000000001
23800,34.0,51.0
23900,45.0,43.0
24000,36.0,52.0
24100,30.0,54.0
24200,31.0,60.0
24300,30.0,59.0
24400,37.0,57.99999999999999
24500,26.0,68.0
24600,32.0,61.0
24700,38.0,56.00000000000001
24800,34.0,64.0
24900,37.0,54.0
25000,32.0,61.0
25100,31.0,65.0
25200,20.0,67.0
25300,28.000000000000004,65.0
25400,34.0,59.0
25500,25.0,66.0
25600,30.0,61.0
25700,30.0,64.0
25800,39.0,56.99999999999999
25900,32.0,62.0
26000,26.0,66.0
26100,26.0,62.0
26200,34.0,59.0
26300,36.0,52.0
26400,34.0,61.0
26500,30.0,54.0
26600,40.0,55.00000000000001
26700,31.0,62.0
26800,28.999999999999996,65.0
26900,24.0,69.0
27000,25.0,65.0
27100,28.999999999999996,61.0
27200,38.0,55.00000000000001
27300,26.0,62.0
27400,30.0,56.00000000000001
27500,31.0,60.0
27600,30.0,57.99999999999999
27700,18.0,64.0
27800,28.999999999999996,65.0
27900,19.0,74.0
28000,22.0,72.0
28100,22.0,67.0
28200,26.0,65.0
28300,21.0,69.0
28400,24.0,68.0
28500,24.0,67.0
28600,22.0,70.0
28700,27.0,69.0
28800,33.0,54.0
28900,26.0,64.0
29000,31.0,60.0
29100,24.0,71.0
29200,25.0,64.0
29300,31.0,62.0
29400,27.0,67.0
29500,36.0,60.0
29600,26.0,67.0
29700,28.000000000000004,61.0
29800,26.0,65.0
29900,33.0,60.0
30000,28.999999999999996,60.0
30100,32.0,56.00000000000001
30200,28.000000000000004,63.0
30300,26.0,65.0
30400,33.0,52.0
30500,18.0,71.0
30600,31.0,61.0
30700,23.0,70.0
30800,23.0,69.0
30900,32.0,59.0
31000,27.0,64.0
31100,22.0,67.0
31200,25.0,65.0
31300,32.0,56.99999999999999
31400,19.0,67.0
31500,27.0,61.0
31600,28.999999999999996,62.0
31700,22.0,71.0
31800,26.0,66.0
31900,23.0,68.0
32000,38.0,52.0
32100,22.0,68.0
32200,31.0,60.0
32300,31.0,57.99999999999999
32400,31.0,56.00000000000001
32500,33.0,61.0
32600,26.0,56.99999999999999
32700,28.000000000000004,60.0
32800,31.0,61.0
32900,39.0,49.0
33000,27.0,60.0
33100,20.0,70.0
33200,13.0,79.0
33300,32.0,63.0
33400,24.0,65.0
33500,33.0,55.00000000000001
33600,34.0,55.00000000000001
33700,27.0,62.0
33800,32.0,53.0
33900,26.0,61.0
34000,31.0,55.00000000000001
34100,35.0,54.0
34200,27.0,60.0
34300,30.0,57.99999999999999
34400,26.0,64.0
34500,25.0,70.0
34600,25.0,64.0
34700,24.0,69.0
34800,21.0,72.0
34900,26.0,63.0
35000,21.0,70.0
35100,19.0,69.0
35200,24.0,65.0
35300,26.0,69.0
35400,22.0,67.0
35500,28.000000000000004,67.0
35600,28.000000000000004,65.0
35700,31.0,62.0
35800,27.0,60.0
35900,23.0,63.0
36000,32.0,64.0
36100,28.999999999999996,65.0
36200,20.0,72.0
36300,20.0,77.0
36400,32.0,61.0
36500,34.0,66.0
36600,27.0,65.0
36700,28.000000000000004,68.0
36800,26.0,68.0
36900,21.0,70.0
37000,22.0,63.0
37100,25.0,67.0
37200,22.0,67.0
37300,21.0,75.0
37400,16.0,73.0
37500,16.0,73.0
37600,26.0,61.0
37700,28.000000000000004,61.0
37800,26.0,65.0
37900,22.0,70.0
38000,22.0,69.0
38100,24.0,68.0
38200,21.0,69.0
38300,19.0,73.0
38400,21.0,72.0
38500,24.0,66.0
38600,30.0,68.0
38700,23.0,68.0
38800,20.0,66.0
38900,19.0,69.0
39000,20.0,74.0
39100,26.0,62.0
39200,27.0,66.0
39300,17.0,73.0
39400,16.0,69.0
39500,22.0,65.0
39600,13.0,77.0
39700,17.0,73.0
39800,19.0,68.0
39900,22.0,67.0
40000,13.0,79.0
40100,19.0,72.0
40200,17.0,78.0
40300,16.0,71.0
40400,14.000000000000002,77.0
40500,15.0,74.0
40600,25.0,69.0
40700,20.0,75.0
40800,21.0,65.0
40900,19.0,74.0
41000,20.0,73.0
41100,17.0,78.0
41200,11.0,70.0
41300,16.0,71.0
41400,24.0,65.0
41500,21.0,71.0
41600,14.000000000000002,79.0
41700,15.0,79.0
41800,15.0,73.0
41900,21.0,73.0
42000,22.0,71.0
42100,21.0,73.0
42200,23.0,61.0
42300,17.0,76.0
42400,22.0,65.0
42500,17.0,74.0
42600,19.0,72.0
42700,16.0,75.0
42800,20.0,71.0
42900,21.0,73.0
43000,16.0,77.0
43100,18.0,73.0
43200,22.0,69.0
43300,18.0,71.0
43400,16.0,78.0
43500,9.0,83.0
43600,21.0,72.0
43700,19.0,74.0
43800,20.0,67.0
43900,19.0,73.0
44000,20.0,71.0
44100,26.0,69.0
44200,18.0,69.0
44300,16.0,68.0
44400,16.0,73.0
44500,22.0,71.0
44600,22.0,66.0
44700,30.0,57.99999999999999
44800,22.0,70.0
44900,24.0,61.0
45000,27.0,64.0
45100,23.0,57.99999999999999
45200,17.0,71.0
45300,18.0,70.0
45400,30.0,56.99999999999999
45500,14.000000000000002,73.0
45600,19.0,68.0
45700,31.0,60.0
45800,17.0,74.0
45900,12.0,72.0
46000,19.0,73.0
46100,19.0,73.0
46200,18.0,73.0
46300,24.0,66.0
46400,15.0,81.0
46500,19.0,73.0
46600,20.0,72.0
46700,20.0,68.0
46800,15.0,77.0
46900,16.0,74.0
47000,28.000000000000004,64.0
47100,14.000000000000002,78.0
47200,28.000000000000004,62.0
47300,17.0,78.0
47400,14.000000000000002,76.0
47500,18.0,75.0
47600,27.0,63.0
47700,18.0,73.0
47800,11.0,80.0
47900,23.0,66.0
48000,17.0,77.0
48100,17.0,76.0
48200,12.0,79.0
48300,13.0,84.0
48400,20.0,76.0
48500,12.0,83.0
48600,32.0,57.99999999999999
48700,20.0,73.0
48800,19.0,64.0
48900,20.0,71.0
49000,24.0,68.0
49100,17.0,74.0
49200,21.0,67.0
49300,24.0,63.0
49400,20.0,75.0
49500,18.0,73.0
49600,28.999999999999996,60.0
49700,20.0,77.0
49800,17.0,76.0
49900,17.0,77.0
50000,30.0,61.0
50100,17.0,79.0
50200,22.0,66.0
50300,22.0,71.0
50400,11.0,80.0
50500,39.0,45.0
50600,17.0,74.0
50700,19.0,70.0
50800,18.0,73.0
50900,11.0,72.0
51000,24.0,66.0
51100,18.0,73.0
51200,11.0,75.0
51300,10.0,77.0
51400,22.0,71.0
51500,18.0,76.0
51600,28.999999999999996,61.0
51700,17.0,77.0
51800,16.0,74.0
51900,13.0,75.0
52000,23.0,70.0
52100,18.0,75.0
52200,27.0,68.0
52300,16.0,72.0
52400,24.0,66.0
52500,17.0,73.0
52600,19.0,68.0
52700,16.0,73.0
52800,16.0,74.0
52900,23.0,70.0
53000,21.0,73.0
53100,19.0,67.0
53200,8.0,82.0
53300,13.0,77.0
53400,18.0,76.0
53500,19.0,76.0
53600,21.0,74.0
53700,16.0,74.0
53800,18.0,77.0
53900,13.0,78.0
54000,23.0,65.0
54100,21.0,69.0
54200,19.0,76.0
54300,24.0,61.0
54400,15.0,72.0
54500,39.0,49.0
54600,15.0,75.0
54700,16.0,73.0
54800,19.0,76.0
54900,24.0,64.0
55000,16.0,75.0
55100,25.0,64.0
55200,13.0,80.0
55300,15.0,77.0
55400,11.0,74.0
55500,14.000000000000002,71.0
55600,18.0,79.0
55700,25.0,61.0
55800,21.0,68.0
55900,12.0,76.0
56000,15.0,77.0
56100,13.0,81.0
56200,21.0,67.0
56300,18.0,70.0
56400,20.0,72.0
56500,14.000000000000002,75.0
56600,15.0,73.0
56700,14.000000000000002,72.0
56800,24.0,70.0
56900,21.0,72.0
57000,20.0,73.0
57100,16.0,77.0
57200,14.000000000000002,69.0
57300,20.0,64.0
57400,13.0,81.0
57500,32.0,56.00000000000001
57600,12.0,81.0
57700,23.0,56.99999999999999
57800,25.0,66.0
57900,16.0,75.0
58000,17.0,74.0
58100,15.0,70.0
58200,24.0,62.0
58300,16.0,73.0
58400,15.0,71.0
58500,13.0,81.0
58600,16.0,78.0
58700,22.0,69.0
58800,16.0,81.0
